Name,Tag,Image URL,Origin,Length,Color,Stem Price,Quantity,First Quantity
Anthurium eterno B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xC8E438A706948EF37ADC328980FFE3A0C1B21820.jpg",,,,,,
Anthurium eterno B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0xC8E438A706948EF37ADC328980FFE3A0C1B21820.jpg",,,,,,
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x1EEB2EB01FA9AEEB4957ADD6B60384C9B0043F4C.jpg",NL,15 cm,Green,"€ 1,36",690,17x10
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x1EEB2EB01FA9AEEB4957ADD6B60384C9B0043F4C.jpg",,,,,,
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x1EEB2EB01FA9AEEB4957ADD6B60384C9B0043F4C.jpg",,,,,,
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x4C3450C0641DDFB6FF37A2B35AD1985656ED8A29.jpg",NL,13 cm,Green,"€ 1,28",690,17x12
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x4C3450C0641DDFB6FF37A2B35AD1985656ED8A29.jpg",,,,,,
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x4C3450C0641DDFB6FF37A2B35AD1985656ED8A29.jpg",,,,,,
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x893111903882A2A107BB733ABB26073C91409751.jpg",NL,9 cm,Green,"€ 0,73",690,3x20
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x893111903882A2A107BB733ABB26073C91409751.jpg",,,,,,
Anthurium grand slam,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x893111903882A2A107BB733ABB26073C91409751.jpg",,,,,,
Anthurium mix in box,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x0E31AB487433CE26DD43AEC54C64CEE0398E84E7.jpg",BE,50 cm,Mix,"€ 0,71",690,4x10
Anthurium mix in box,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x0E31AB487433CE26DD43AEC54C64CEE0398E84E7.jpg",,,,,,
